"block","method","quantity","value"
"RQ1","frequency","apa","Frequency distribution for attendee_type (N = 50)."
"RQ1","frequency","Frequency [1]","30"
"RQ1","frequency","Frequency [2]","9"
"RQ1","frequency","Frequency [3]","8"
"RQ1","frequency","Frequency [4]","3"
"RQ1","frequency","Percent [1]","60"
"RQ1","frequency","Percent [2]","18"
"RQ1","frequency","Percent [3]","16"
"RQ1","frequency","Percent [4]","6"
"RQ2","descriptives","apa","Descriptive statistics were computed for 1 variable(s)."
"RQ2","descriptives","n","50"
"RQ2","descriptives","valid_n","38"
"RQ2","descriptives","missing_n","12"
"RQ2","descriptives","mean","7.02632"
"RQ2","descriptives","sd","2.13702"
"RQ2","descriptives","median","7"
"RQ2","descriptives","iqr","3"
"RQ2","descriptives","min","3"
"RQ2","descriptives","max","10"
"RQ2","descriptives","skewness","-0.243598"
"RQ2","descriptives","kurtosis","-1.00412"
"RQ2","descriptives","se","0.34667"
"RQ2","descriptives","ci_low","6.32389"
"RQ2","descriptives","ci_high","7.72874"
"RQ2","descriptives","weighted_mean","NA"
