"respondent_id","started_at","submitted_at","format","preferred_session_type"
"R001","2026-06-01T09:08:00Z","2026-06-01T09:12:00Z","in_person","workshop"
"R002","2026-06-01T09:08:37Z","2026-06-01T09:12:37Z","in_person","workshop"
"R003","2026-06-01T09:09:14Z","2026-06-01T09:13:14Z","in_person","workshop"
"R004","2026-06-01T09:09:51Z","2026-06-01T09:13:51Z","in_person","panel"
"R005","2026-06-01T09:10:28Z","2026-06-01T09:14:28Z","in_person","workshop"
"R006","2026-06-01T09:11:05Z","2026-06-01T09:15:05Z","in_person","keynote"
"R007","2026-06-01T09:11:42Z","2026-06-01T09:15:42Z","in_person","workshop"
"R008","2026-06-01T09:12:19Z","2026-06-01T09:16:19Z","in_person","keynote"
"R009","2026-06-01T09:12:56Z","2026-06-01T09:16:56Z","in_person","keynote"
"R010","2026-06-01T09:13:33Z","2026-06-01T09:17:33Z","in_person","keynote"
"R011","2026-06-01T09:14:10Z","2026-06-01T09:18:10Z","in_person","keynote"
"R012","2026-06-01T09:14:47Z","2026-06-01T09:18:47Z","in_person","workshop"
"R013","2026-06-01T09:15:24Z","2026-06-01T09:19:24Z","in_person","keynote"
"R014","2026-06-01T09:16:01Z","2026-06-01T09:20:01Z","in_person","workshop"
"R015","2026-06-01T09:16:38Z","2026-06-01T09:20:38Z","in_person","workshop"
"R016","2026-06-01T09:17:15Z","2026-06-01T09:21:15Z","in_person","workshop"
"R017","2026-06-01T09:17:52Z","2026-06-01T09:21:52Z","in_person","workshop"
"R018","2026-06-01T09:18:29Z","2026-06-01T09:22:29Z","in_person","workshop"
"R019","2026-06-01T09:19:06Z","2026-06-01T09:23:06Z","in_person","panel"
"R020","2026-06-01T09:19:43Z","2026-06-01T09:23:43Z","in_person","keynote"
"R021","2026-06-01T09:20:20Z","2026-06-01T09:24:20Z","in_person","workshop"
"R022","2026-06-01T09:20:57Z","2026-06-01T09:24:57Z","in_person","workshop"
"R023","2026-06-01T09:21:34Z","2026-06-01T09:25:34Z","in_person","panel"
"R024","2026-06-01T09:22:11Z","2026-06-01T09:26:11Z","in_person","workshop"
"R025","2026-06-01T09:22:48Z","2026-06-01T09:26:48Z","in_person","workshop"
"R026","2026-06-01T09:23:25Z","2026-06-01T09:27:25Z","in_person","workshop"
"R027","2026-06-01T09:24:02Z","2026-06-01T09:28:02Z","in_person","workshop"
"R028","2026-06-01T09:24:39Z","2026-06-01T09:28:39Z","in_person","panel"
"R029","2026-06-01T09:25:16Z","2026-06-01T09:29:16Z","in_person","workshop"
"R030","2026-06-01T09:25:53Z","2026-06-01T09:29:53Z","in_person","workshop"
"R031","2026-06-01T09:26:30Z","2026-06-01T09:30:30Z","online","keynote"
"R032","2026-06-01T09:27:07Z","2026-06-01T09:31:07Z","online","keynote"
"R033","2026-06-01T09:27:44Z","2026-06-01T09:31:44Z","online","keynote"
"R034","2026-06-01T09:28:21Z","2026-06-01T09:32:21Z","online","keynote"
"R035","2026-06-01T09:28:58Z","2026-06-01T09:32:58Z","online","keynote"
"R036","2026-06-01T09:29:35Z","2026-06-01T09:33:35Z","online","keynote"
"R037","2026-06-01T09:30:12Z","2026-06-01T09:34:12Z","online","keynote"
"R038","2026-06-01T09:30:49Z","2026-06-01T09:34:49Z","online","keynote"
"R039","2026-06-01T09:31:26Z","2026-06-01T09:35:26Z","online","keynote"
"R040","2026-06-01T09:32:03Z","2026-06-01T09:36:03Z","online","keynote"
"R041","2026-06-01T09:32:40Z","2026-06-01T09:36:40Z","online","keynote"
"R042","2026-06-01T09:33:17Z","2026-06-01T09:37:17Z","online","keynote"
"R043","2026-06-01T09:33:54Z","2026-06-01T09:37:54Z","online","panel"
"R044","2026-06-01T09:34:31Z","2026-06-01T09:38:31Z","online","panel"
"R045","2026-06-01T09:35:08Z","2026-06-01T09:39:08Z","online","keynote"
"R046","2026-06-01T09:35:45Z","2026-06-01T09:39:45Z","online","workshop"
"R047","2026-06-01T09:36:22Z","2026-06-01T09:40:22Z","online","keynote"
"R048","2026-06-01T09:36:59Z","2026-06-01T09:40:59Z","online","keynote"
"R049","2026-06-01T09:37:36Z","2026-06-01T09:41:36Z","online","panel"
"R050","2026-06-01T09:38:13Z","2026-06-01T09:42:13Z","online","keynote"
"R051","2026-06-01T09:38:50Z","2026-06-01T09:42:50Z","online","panel"
"R052","2026-06-01T09:39:27Z","2026-06-01T09:43:27Z","online","panel"
"R053","2026-06-01T09:40:04Z","2026-06-01T09:44:04Z","online","workshop"
"R054","2026-06-01T09:40:41Z","2026-06-01T09:44:41Z","online","keynote"
"R055","2026-06-01T09:41:18Z","2026-06-01T09:45:18Z","online","workshop"
"R056","2026-06-01T09:41:55Z","2026-06-01T09:45:55Z","online","workshop"
"R057","2026-06-01T09:42:32Z","2026-06-01T09:46:32Z","online","keynote"
"R058","2026-06-01T09:43:09Z","2026-06-01T09:47:09Z","online","keynote"
"R059","2026-06-01T09:43:46Z","2026-06-01T09:47:46Z","online","keynote"
"R060","2026-06-01T09:44:23Z","2026-06-01T09:48:23Z","online","keynote"
