"block","method","quantity","value"
"RQ1","crosstab","apa","χ²(2, N = 60) = 16.89, p < .001, V = 0.53 [0.33, 0.75]"
"RQ1","crosstab","In person: Keynotes","7"
"RQ1","crosstab","Online: Keynotes","21"
"RQ1","crosstab","In person: Panel discussions","4"
"RQ1","crosstab","Online: Panel discussions","5"
"RQ1","crosstab","In person: Workshops","19"
"RQ1","crosstab","Online: Workshops","4"
"RQ2","crosstab","apa","χ²(2, N = 60) = 16.89, p < .001, V = 0.53 [0.34, 0.73]"
"RQ2","crosstab","In person: Keynotes","7"
"RQ2","crosstab","Online: Keynotes","21"
"RQ2","crosstab","In person: Panel discussions","4"
"RQ2","crosstab","Online: Panel discussions","5"
"RQ2","crosstab","In person: Workshops","19"
"RQ2","crosstab","Online: Workshops","4"
"RQ3","fisher_exact","apa","Fisher's exact test, p < .001, Cramer's V = 0.53"
"RQ3","fisher_exact","In person: Keynotes","7"
"RQ3","fisher_exact","Online: Keynotes","21"
"RQ3","fisher_exact","In person: Panel discussions","4"
"RQ3","fisher_exact","Online: Panel discussions","5"
"RQ3","fisher_exact","In person: Workshops","19"
"RQ3","fisher_exact","Online: Workshops","4"
