"respondent_id","started_at","submitted_at","age","sessions_attended","networking_minutes","overall_value"
"R001","2026-06-01T09:09:00Z","2026-06-01T09:13:00Z",47,6,62,44
"R002","2026-06-01T09:09:37Z","2026-06-01T09:13:37Z",43,9,115,49
"R003","2026-06-01T09:10:14Z","2026-06-01T09:14:14Z",26,7,104,40
"R004","2026-06-01T09:10:51Z","2026-06-01T09:14:51Z",43,9,69,70
"R005","2026-06-01T09:11:28Z","2026-06-01T09:15:28Z",40,7,87,42
"R006","2026-06-01T09:12:05Z","2026-06-01T09:16:05Z",34,10,13,27
"R007","2026-06-01T09:12:42Z","2026-06-01T09:16:42Z",37,7,137,58
"R008","2026-06-01T09:13:19Z","2026-06-01T09:17:19Z",28,8,86,51
"R009","2026-06-01T09:13:56Z","2026-06-01T09:17:56Z",34,9,62,47
"R010","2026-06-01T09:14:33Z","2026-06-01T09:18:33Z",36,7,65,45
"R011","2026-06-01T09:15:10Z","2026-06-01T09:19:10Z",50,5,0,18
"R012","2026-06-01T09:15:47Z","2026-06-01T09:19:47Z",34,3,17,27
"R013","2026-06-01T09:16:24Z","2026-06-01T09:20:24Z",38,10,77,42
"R014","2026-06-01T09:17:01Z","2026-06-01T09:21:01Z",49,5,86,41
"R015","2026-06-01T09:17:38Z","2026-06-01T09:21:38Z",35,2,84,21
"R016","2026-06-01T09:18:15Z","2026-06-01T09:22:15Z",47,6,149,40
"R017","2026-06-01T09:18:52Z","2026-06-01T09:22:52Z",61,10,50,46
"R018","2026-06-01T09:19:29Z","2026-06-01T09:23:29Z",30,8,68,45
"R019","2026-06-01T09:20:06Z","2026-06-01T09:24:06Z",36,6,129,60
"R020","2026-06-01T09:20:43Z","2026-06-01T09:24:43Z",42,1,72,26
"R021","2026-06-01T09:21:20Z","2026-06-01T09:25:20Z",17,9,132,62
"R022","2026-06-01T09:21:57Z","2026-06-01T09:25:57Z",43,9,101,72
"R023","2026-06-01T09:22:34Z","2026-06-01T09:26:34Z",40,7,49,35
"R024","2026-06-01T09:23:11Z","2026-06-01T09:27:11Z",42,4,93,18
"R025","2026-06-01T09:23:48Z","2026-06-01T09:27:48Z",21,8,69,54
"R026","2026-06-01T09:24:25Z","2026-06-01T09:28:25Z",35,9,32,25
"R027","2026-06-01T09:25:02Z","2026-06-01T09:29:02Z",54,7,103,51
"R028","2026-06-01T09:25:39Z","2026-06-01T09:29:39Z",38,6,17,20
"R029","2026-06-01T09:26:16Z","2026-06-01T09:30:16Z",52,8,98,32
"R030","2026-06-01T09:26:53Z","2026-06-01T09:30:53Z",31,5,51,22
"R031","2026-06-01T09:27:30Z","2026-06-01T09:31:30Z",27,2,78,16
"R032","2026-06-01T09:28:07Z","2026-06-01T09:32:07Z",30,8,36,31
"R033","2026-06-01T09:28:44Z","2026-06-01T09:32:44Z",35,8,80,48
"R034","2026-06-01T09:29:21Z","2026-06-01T09:33:21Z",39,4,44,8
"R035","2026-06-01T09:29:58Z","2026-06-01T09:33:58Z",39,6,60,51
"R036","2026-06-01T09:30:35Z","2026-06-01T09:34:35Z",38,6,44,38
"R037","2026-06-01T09:31:12Z","2026-06-01T09:35:12Z",52,3,170,28
"R038","2026-06-01T09:31:49Z","2026-06-01T09:35:49Z",49,7,84,62
"R039","2026-06-01T09:32:26Z","2026-06-01T09:36:26Z",45,5,27,47
"R040","2026-06-01T09:33:03Z","2026-06-01T09:37:03Z",42,5,98,39
"R041","2026-06-01T09:33:40Z","2026-06-01T09:37:40Z",34,10,37,61
"R042","2026-06-01T09:34:17Z","2026-06-01T09:38:17Z",57,10,81,53
"R043","2026-06-01T09:34:54Z","2026-06-01T09:38:54Z",38,7,17,23
"R044","2026-06-01T09:35:31Z","2026-06-01T09:39:31Z",48,6,55,29
"R045","2026-06-01T09:36:08Z","2026-06-01T09:40:08Z",46,6,16,40
"R046","2026-06-01T09:36:45Z","2026-06-01T09:40:45Z",48,3,77,45
"R047","2026-06-01T09:37:22Z","2026-06-01T09:41:22Z",59,6,35,24
"R048","2026-06-01T09:37:59Z","2026-06-01T09:41:59Z",47,4,114,42
"R049","2026-06-01T09:38:36Z","2026-06-01T09:42:36Z",51,3,130,41
"R050","2026-06-01T09:39:13Z","2026-06-01T09:43:13Z",37,4,118,31
"R051","2026-06-01T09:39:50Z","2026-06-01T09:43:50Z",37,9,144,45
"R052","2026-06-01T09:40:27Z","2026-06-01T09:44:27Z",18,5,0,6
"R053","2026-06-01T09:41:04Z","2026-06-01T09:45:04Z",54,6,106,48
"R054","2026-06-01T09:41:41Z","2026-06-01T09:45:41Z",33,3,2,14
"R055","2026-06-01T09:42:18Z","2026-06-01T09:46:18Z",44,9,63,29
"R056","2026-06-01T09:42:55Z","2026-06-01T09:46:55Z",51,4,7,31
"R057","2026-06-01T09:43:32Z","2026-06-01T09:47:32Z",31,6,67,59
"R058","2026-06-01T09:44:09Z","2026-06-01T09:48:09Z",26,11,93,46
"R059","2026-06-01T09:44:46Z","2026-06-01T09:48:46Z",39,1,80,22
"R060","2026-06-01T09:45:23Z","2026-06-01T09:49:23Z",44,7,99,53
