"block","method","quantity","value"
"RQ1","correlation_pearson","apa","r(58) = 0.53 [0.32, 0.69], p < .001"
"RQ1","correlation_pearson","n","60"
"RQ1","correlation_pearson","df","58"
"RQ2","correlation_spearman","apa","r_s(58) = 0.55 [0.35, 0.70], p < .001"
"RQ2","correlation_spearman","n","60"
"RQ2","correlation_spearman","df","58"
"RQ3","correlation_kendall","apa","tau(58) = 0.39 [0.25, 0.52], p < .001"
"RQ3","correlation_kendall","n","60"
"RQ3","correlation_kendall","df","58"
"RQ4","partial_correlation","apa","partial r(57) = 0.54, p < .001"
"RQ4","partial_correlation","n","60"
"RQ5","regression_linear","apa","R² = 0.467, F(2, 57) = 24.93, p < .001"
