"item_id","item_label","type","scale_id","value","value_label"
"org_1","The event ran to time.","likert","organisation","1","Strongly disagree"
"org_1","The event ran to time.","likert","organisation","2","Disagree"
"org_1","The event ran to time.","likert","organisation","3","Neither agree nor disagree"
"org_1","The event ran to time.","likert","organisation","4","Agree"
"org_1","The event ran to time.","likert","organisation","5","Strongly agree"
"org_2","It was easy to find my way around.","likert","organisation","1","Strongly disagree"
"org_2","It was easy to find my way around.","likert","organisation","2","Disagree"
"org_2","It was easy to find my way around.","likert","organisation","3","Neither agree nor disagree"
"org_2","It was easy to find my way around.","likert","organisation","4","Agree"
"org_2","It was easy to find my way around.","likert","organisation","5","Strongly agree"
"org_3","Staff were helpful.","likert","organisation","1","Strongly disagree"
"org_3","Staff were helpful.","likert","organisation","2","Disagree"
"org_3","Staff were helpful.","likert","organisation","3","Neither agree nor disagree"
"org_3","Staff were helpful.","likert","organisation","4","Agree"
"org_3","Staff were helpful.","likert","organisation","5","Strongly agree"
"org_4","The venue suited the event.","likert","organisation","1","Strongly disagree"
"org_4","The venue suited the event.","likert","organisation","2","Disagree"
"org_4","The venue suited the event.","likert","organisation","3","Neither agree nor disagree"
"org_4","The venue suited the event.","likert","organisation","4","Agree"
"org_4","The venue suited the event.","likert","organisation","5","Strongly agree"
"con_1","The sessions were relevant to my work.","likert","content","1","Strongly disagree"
"con_1","The sessions were relevant to my work.","likert","content","2","Disagree"
"con_1","The sessions were relevant to my work.","likert","content","3","Neither agree nor disagree"
"con_1","The sessions were relevant to my work.","likert","content","4","Agree"
"con_1","The sessions were relevant to my work.","likert","content","5","Strongly agree"
"con_2","The material went deep enough.","likert","content","1","Strongly disagree"
"con_2","The material went deep enough.","likert","content","2","Disagree"
"con_2","The material went deep enough.","likert","content","3","Neither agree nor disagree"
"con_2","The material went deep enough.","likert","content","4","Agree"
"con_2","The material went deep enough.","likert","content","5","Strongly agree"
"con_3","The speakers knew their subject.","likert","content","1","Strongly disagree"
"con_3","The speakers knew their subject.","likert","content","2","Disagree"
"con_3","The speakers knew their subject.","likert","content","3","Neither agree nor disagree"
"con_3","The speakers knew their subject.","likert","content","4","Agree"
"con_3","The speakers knew their subject.","likert","content","5","Strongly agree"
"con_4","The handouts were useful.","likert","content","1","Strongly disagree"
"con_4","The handouts were useful.","likert","content","2","Disagree"
"con_4","The handouts were useful.","likert","content","3","Neither agree nor disagree"
"con_4","The handouts were useful.","likert","content","4","Agree"
"con_4","The handouts were useful.","likert","content","5","Strongly agree"
