"respondent_id","started_at","submitted_at","attendee_type","age","attended_on","suggestion"
"R001","2026-06-01T09:01:00Z","2026-06-01T09:05:00Z","first_time",,"2026-06-01",
"R002","2026-06-01T09:01:37Z","2026-06-01T09:05:37Z","first_time",30,"2026-06-01",
"R003","2026-06-01T09:02:14Z","2026-06-01T09:06:14Z","first_time",47,"2026-06-02","More practical sessions"
"R004","2026-06-01T09:02:51Z","2026-06-01T09:06:51Z","first_time",41,"2026-06-02","Better signage"
"R005","2026-06-01T09:03:28Z","2026-06-01T09:07:28Z","returning",50,"2026-06-02","Longer breaks"
"R006","2026-06-01T09:04:05Z","2026-06-01T09:08:05Z","first_time",50,"2026-06-01","Longer breaks"
"R007","2026-06-01T09:04:42Z","2026-06-01T09:08:42Z","first_time",44,"2026-06-02","More networking time"
"R008","2026-06-01T09:05:19Z","2026-06-01T09:09:19Z","returning",31,"2026-06-01","Better signage"
"R009","2026-06-01T09:05:56Z","2026-06-01T09:09:56Z","first_time",58,"2026-06-02","More networking time"
"R010","2026-06-01T09:06:33Z","2026-06-01T09:10:33Z","first_time",22,"2026-06-01","Better signage"
"R011","2026-06-01T09:07:10Z","2026-06-01T09:11:10Z","first_time",54,"2026-06-02",
"R012","2026-06-01T09:07:47Z","2026-06-01T09:11:47Z","returning",32,"2026-06-03","Longer breaks"
"R013","2026-06-01T09:08:24Z","2026-06-01T09:12:24Z","first_time",52,"2026-06-02","More networking time"
"R014","2026-06-01T09:09:01Z","2026-06-01T09:13:01Z","returning",48,"2026-06-02","Better signage"
"R015","2026-06-01T09:09:38Z","2026-06-01T09:13:38Z","first_time",17,"2026-06-01","More practical sessions"
"R016","2026-06-01T09:10:15Z","2026-06-01T09:14:15Z","first_time",29,"2026-06-02","Better signage"
"R017","2026-06-01T09:10:52Z","2026-06-01T09:14:52Z","returning",44,"2026-06-02","Better signage"
"R018","2026-06-01T09:11:29Z","2026-06-01T09:15:29Z","first_time",44,"2026-06-02","More networking time"
"R019","2026-06-01T09:12:06Z","2026-06-01T09:16:06Z","returning",32,"2026-06-01","More networking time"
"R020","2026-06-01T09:12:43Z","2026-06-01T09:16:43Z","returning",36,"2026-06-03","Longer breaks"
"R021","2026-06-01T09:13:20Z","2026-06-01T09:17:20Z","first_time",45,"2026-06-01","More networking time"
"R022","2026-06-01T09:13:57Z","2026-06-01T09:17:57Z","first_time",,"2026-06-03","More networking time"
"R023","2026-06-01T09:14:34Z","2026-06-01T09:18:34Z","first_time",57,"2026-06-02","More practical sessions"
"R024","2026-06-01T09:15:11Z","2026-06-01T09:19:11Z","returning",42,"2026-06-02","Better signage"
"R025","2026-06-01T09:15:48Z","2026-06-01T09:19:48Z","first_time",41,"2026-06-01","Longer breaks"
"R026","2026-06-01T09:16:25Z","2026-06-01T09:20:25Z","returning",48,"2026-06-03","More networking time"
"R027","2026-06-01T09:17:02Z","2026-06-01T09:21:02Z","first_time",31,"2026-06-03","More practical sessions"
"R028","2026-06-01T09:17:39Z","2026-06-01T09:21:39Z","returning",48,"2026-06-01","More practical sessions"
"R029","2026-06-01T09:18:16Z","2026-06-01T09:22:16Z","returning",35,"2026-06-03","More practical sessions"
"R030","2026-06-01T09:18:53Z","2026-06-01T09:22:53Z","returning",33,"2026-06-02","More networking time"
"R031","2026-06-01T09:19:30Z","2026-06-01T09:23:30Z","first_time",23,"2026-06-02","More networking time"
"R032","2026-06-01T09:20:07Z","2026-06-01T09:24:07Z","returning",43,"2026-06-02",
"R033","2026-06-01T09:20:44Z","2026-06-01T09:24:44Z","returning",24,"2026-06-01","Longer breaks"
"R034","2026-06-01T09:21:21Z","2026-06-01T09:25:21Z","returning",26,"2026-06-02","More networking time"
"R035","2026-06-01T09:21:58Z","2026-06-01T09:25:58Z","first_time",54,"2026-06-03","Longer breaks"
"R036","2026-06-01T09:22:35Z","2026-06-01T09:26:35Z","returning",36,"2026-06-02",
"R037","2026-06-01T09:23:12Z","2026-06-01T09:27:12Z","first_time",23,"2026-06-03","More networking time"
"R038","2026-06-01T09:23:49Z","2026-06-01T09:27:49Z","returning",55,"2026-06-01","Better signage"
"R039","2026-06-01T09:24:26Z","2026-06-01T09:28:26Z","returning",18,"2026-06-02","Longer breaks"
"R040","2026-06-01T09:25:03Z","2026-06-01T09:29:03Z","first_time",40,"2026-06-03","Better signage"
"R041","2026-06-01T09:25:40Z","2026-06-01T09:29:40Z","first_time",36,"2026-06-01","More practical sessions"
"R042","2026-06-01T09:26:17Z","2026-06-01T09:30:17Z","first_time",41,"2026-06-01","More networking time"
"R043","2026-06-01T09:26:54Z","2026-06-01T09:30:54Z","first_time",43,"2026-06-03","Better signage"
"R044","2026-06-01T09:27:31Z","2026-06-01T09:31:31Z","returning",60,"2026-06-02","More practical sessions"
"R045","2026-06-01T09:28:08Z","2026-06-01T09:32:08Z","first_time",38,"2026-06-03","Better signage"
"R046","2026-06-01T09:28:45Z","2026-06-01T09:32:45Z","first_time",27,"2026-06-01","More practical sessions"
"R047","2026-06-01T09:29:22Z","2026-06-01T09:33:22Z","returning",,"2026-06-01","More practical sessions"
"R048","2026-06-01T09:29:59Z","2026-06-01T09:33:59Z","first_time",40,"2026-06-03","More practical sessions"
"R049","2026-06-01T09:30:36Z","2026-06-01T09:34:36Z","returning",42,"2026-06-01","More networking time"
"R050","2026-06-01T09:31:13Z","2026-06-01T09:35:13Z","returning",35,"2026-06-02","Better signage"
