"block","method","quantity","value"
"RQ1","frequency","apa","Frequency distribution for NA (N = 0)."
"RQ2","descriptives","apa","Descriptive statistics were computed for 1 variable(s)."
"RQ2","descriptives","n","50"
"RQ2","descriptives","valid_n","47"
"RQ2","descriptives","missing_n","3"
"RQ2","descriptives","mean","39.2553"
"RQ2","descriptives","sd","10.9236"
"RQ2","descriptives","median","41"
"RQ2","descriptives","iqr","16"
"RQ2","descriptives","min","17"
"RQ2","descriptives","max","60"
"RQ2","descriptives","skewness","-0.118002"
"RQ2","descriptives","kurtosis","-0.815052"
"RQ2","descriptives","se","1.59337"
"RQ2","descriptives","ci_low","36.048"
"RQ2","descriptives","ci_high","42.4626"
"RQ2","descriptives","weighted_mean","NA"
"RQ3","missing_data","apa","Missing-data diagnostics were computed for 2 variable(s)."
"RQ3","missing_data","How old are you?: missing_n","3"
"RQ3","missing_data","What should we do differently next year?: missing_n","5"
"RQ3","missing_data","How old are you?: missing_pct","0.06"
"RQ3","missing_data","What should we do differently next year?: missing_pct","0.1"
"RQ3","missing_data","How old are you?: valid_n","47"
"RQ3","missing_data","What should we do differently next year?: valid_n","45"
"RQ4","quality","no numeric output",
