"item_id","item_label","type","scale_id","value","value_label"
"org_1","The event ran to time.","likert","organisation","1","Strongly disagree"
"org_1","The event ran to time.","likert","organisation","2","Disagree"
"org_1","The event ran to time.","likert","organisation","3","Neither agree nor disagree"
"org_1","The event ran to time.","likert","organisation","4","Agree"
"org_1","The event ran to time.","likert","organisation","5","Strongly agree"
"org_2","It was easy to find my way around.","likert","organisation","1","Strongly disagree"
"org_2","It was easy to find my way around.","likert","organisation","2","Disagree"
"org_2","It was easy to find my way around.","likert","organisation","3","Neither agree nor disagree"
"org_2","It was easy to find my way around.","likert","organisation","4","Agree"
"org_2","It was easy to find my way around.","likert","organisation","5","Strongly agree"
"org_3","Staff were helpful when I had a question.","likert","organisation","1","Strongly disagree"
"org_3","Staff were helpful when I had a question.","likert","organisation","2","Disagree"
"org_3","Staff were helpful when I had a question.","likert","organisation","3","Neither agree nor disagree"
"org_3","Staff were helpful when I had a question.","likert","organisation","4","Agree"
"org_3","Staff were helpful when I had a question.","likert","organisation","5","Strongly agree"
"org_4","I struggled to work out where to go.","likert","organisation","1","Strongly disagree"
"org_4","I struggled to work out where to go.","likert","organisation","2","Disagree"
"org_4","I struggled to work out where to go.","likert","organisation","3","Neither agree nor disagree"
"org_4","I struggled to work out where to go.","likert","organisation","4","Agree"
"org_4","I struggled to work out where to go.","likert","organisation","5","Strongly agree"
