"block","method","quantity","value"
"RQ1","descriptives","apa","Descriptive statistics were computed for 1 variable(s)."
"RQ1","descriptives","n","50"
"RQ1","descriptives","valid_n","50"
"RQ1","descriptives","missing_n","0"
"RQ1","descriptives","mean","2.73"
"RQ1","descriptives","sd","1.14602"
"RQ1","descriptives","median","2.75"
"RQ1","descriptives","iqr","1.75"
"RQ1","descriptives","min","1"
"RQ1","descriptives","max","5"
"RQ1","descriptives","skewness","0.275959"
"RQ1","descriptives","kurtosis","-1.082"
"RQ1","descriptives","se","0.162072"
"RQ1","descriptives","ci_low","2.4043"
"RQ1","descriptives","ci_high","3.0557"
"RQ1","descriptives","weighted_mean","NA"
"RQ2","reliability_alpha","Perceived organisation: N items","4"
"RQ2","reliability_alpha","Perceived organisation: N","50"
"RQ2","reliability_alpha","Perceived organisation: Alpha","0.847"
"RQ2","reliability_alpha","Perceived organisation: Alpha (std.)","0.849"
"RQ3","reliability_omega","Perceived organisation: N items","4"
"RQ3","reliability_omega","Perceived organisation: N","50"
"RQ3","reliability_omega","Perceived organisation: Omega (h)","0.851"
"RQ3","reliability_omega","Perceived organisation: Omega (t)","0.85"
"RQ4","item_diagnostics","mean [1]","2.56"
"RQ4","item_diagnostics","mean [2]","2.54"
"RQ4","item_diagnostics","mean [3]","2.72"
"RQ4","item_diagnostics","mean [4]","2.9"
"RQ4","item_diagnostics","sd [1]","1.41652"
"RQ4","item_diagnostics","sd [2]","1.32803"
"RQ4","item_diagnostics","sd [3]","1.34073"
"RQ4","item_diagnostics","sd [4]","1.44632"
"RQ4","item_diagnostics","item_rest_r [1]","0.516904"
"RQ4","item_diagnostics","item_rest_r [2]","0.595468"
"RQ4","item_diagnostics","item_rest_r [3]","0.354386"
"RQ4","item_diagnostics","item_rest_r [4]","-0.610799"
"RQ4","item_diagnostics","floor_pct [1]","0.3"
"RQ4","item_diagnostics","floor_pct [2]","0.3"
"RQ4","item_diagnostics","floor_pct [3]","0.26"
"RQ4","item_diagnostics","floor_pct [4]","0.24"
"RQ4","item_diagnostics","ceiling_pct [1]","0.14"
"RQ4","item_diagnostics","ceiling_pct [2]","0.1"
"RQ4","item_diagnostics","ceiling_pct [3]","0.12"
"RQ4","item_diagnostics","ceiling_pct [4]","0.18"
"RQ4","item_diagnostics","n_missing [1]","0"
"RQ4","item_diagnostics","n_missing [2]","0"
"RQ4","item_diagnostics","n_missing [3]","0"
"RQ4","item_diagnostics","n_missing [4]","0"
