"respondent_id","started_at","submitted_at","sessions_attended","will_return","satisfaction","preferred_session_type"
"R001","2026-06-01T09:10:00Z","2026-06-01T09:14:00Z",7,"no",4,"keynote"
"R002","2026-06-01T09:10:37Z","2026-06-01T09:14:37Z",6,"yes",3,"keynote"
"R003","2026-06-01T09:11:14Z","2026-06-01T09:15:14Z",7,"yes",2,"keynote"
"R004","2026-06-01T09:11:51Z","2026-06-01T09:15:51Z",9,"yes",5,"workshop"
"R005","2026-06-01T09:12:28Z","2026-06-01T09:16:28Z",9,"yes",4,"workshop"
"R006","2026-06-01T09:13:05Z","2026-06-01T09:17:05Z",9,"yes",4,"workshop"
"R007","2026-06-01T09:13:42Z","2026-06-01T09:17:42Z",4,"no",4,"panel"
"R008","2026-06-01T09:14:19Z","2026-06-01T09:18:19Z",9,"yes",4,"workshop"
"R009","2026-06-01T09:14:56Z","2026-06-01T09:18:56Z",5,"yes",4,"keynote"
"R010","2026-06-01T09:15:33Z","2026-06-01T09:19:33Z",3,"no",1,"keynote"
"R011","2026-06-01T09:16:10Z","2026-06-01T09:20:10Z",8,"yes",4,"workshop"
"R012","2026-06-01T09:16:47Z","2026-06-01T09:20:47Z",2,"no",2,"keynote"
"R013","2026-06-01T09:17:24Z","2026-06-01T09:21:24Z",3,"no",3,"panel"
"R014","2026-06-01T09:18:01Z","2026-06-01T09:22:01Z",5,"no",2,"keynote"
"R015","2026-06-01T09:18:38Z","2026-06-01T09:22:38Z",8,"yes",4,"workshop"
"R016","2026-06-01T09:19:15Z","2026-06-01T09:23:15Z",7,"yes",3,"keynote"
"R017","2026-06-01T09:19:52Z","2026-06-01T09:23:52Z",5,"yes",2,"keynote"
"R018","2026-06-01T09:20:29Z","2026-06-01T09:24:29Z",7,"yes",3,"panel"
"R019","2026-06-01T09:21:06Z","2026-06-01T09:25:06Z",3,"no",1,"keynote"
"R020","2026-06-01T09:21:43Z","2026-06-01T09:25:43Z",4,"no",1,"keynote"
