"respondent_id","started_at","submitted_at","session__Opening keynote","session__Workshop A","session__Workshop B","session__Closing panel","format"
"R001","2026-06-01T09:03:00Z","2026-06-01T09:07:00Z",4,4,2,4,"in_person"
"R002","2026-06-01T09:03:37Z","2026-06-01T09:07:37Z",4,3,4,5,"in_person"
"R003","2026-06-01T09:04:14Z","2026-06-01T09:08:14Z",3,3,3,4,"in_person"
"R004","2026-06-01T09:04:51Z","2026-06-01T09:08:51Z",5,3,4,4,"online"
"R005","2026-06-01T09:05:28Z","2026-06-01T09:09:28Z",5,4,1,1,"online"
"R006","2026-06-01T09:06:05Z","2026-06-01T09:10:05Z",4,2,1,3,"in_person"
"R007","2026-06-01T09:06:42Z","2026-06-01T09:10:42Z",3,4,2,3,"in_person"
"R008","2026-06-01T09:07:19Z","2026-06-01T09:11:19Z",3,3,3,4,"online"
"R009","2026-06-01T09:07:56Z","2026-06-01T09:11:56Z",5,2,3,4,"in_person"
"R010","2026-06-01T09:08:33Z","2026-06-01T09:12:33Z",5,3,2,5,"online"
"R011","2026-06-01T09:09:10Z","2026-06-01T09:13:10Z",5,3,3,3,"in_person"
"R012","2026-06-01T09:09:47Z","2026-06-01T09:13:47Z",4,2,3,4,"in_person"
"R013","2026-06-01T09:10:24Z","2026-06-01T09:14:24Z",2,2,2,4,"in_person"
"R014","2026-06-01T09:11:01Z","2026-06-01T09:15:01Z",3,5,2,3,"in_person"
"R015","2026-06-01T09:11:38Z","2026-06-01T09:15:38Z",4,2,2,5,"in_person"
"R016","2026-06-01T09:12:15Z","2026-06-01T09:16:15Z",5,3,3,2,"online"
"R017","2026-06-01T09:12:52Z","2026-06-01T09:16:52Z",4,4,4,3,"online"
"R018","2026-06-01T09:13:29Z","2026-06-01T09:17:29Z",5,4,2,3,"online"
"R019","2026-06-01T09:14:06Z","2026-06-01T09:18:06Z",3,5,2,4,"in_person"
"R020","2026-06-01T09:14:43Z","2026-06-01T09:18:43Z",4,3,3,4,"online"
"R021","2026-06-01T09:15:20Z","2026-06-01T09:19:20Z",5,3,3,4,"online"
"R022","2026-06-01T09:15:57Z","2026-06-01T09:19:57Z",3,3,2,3,"in_person"
"R023","2026-06-01T09:16:34Z","2026-06-01T09:20:34Z",5,3,3,3,"online"
"R024","2026-06-01T09:17:11Z","2026-06-01T09:21:11Z",4,3,5,4,"online"
"R025","2026-06-01T09:17:48Z","2026-06-01T09:21:48Z",4,4,1,2,"online"
"R026","2026-06-01T09:18:25Z","2026-06-01T09:22:25Z",4,2,2,3,"in_person"
"R027","2026-06-01T09:19:02Z","2026-06-01T09:23:02Z",2,4,2,4,"in_person"
"R028","2026-06-01T09:19:39Z","2026-06-01T09:23:39Z",5,3,3,4,"online"
"R029","2026-06-01T09:20:16Z","2026-06-01T09:24:16Z",5,4,3,4,"in_person"
"R030","2026-06-01T09:20:53Z","2026-06-01T09:24:53Z",5,4,2,3,"in_person"
"R031","2026-06-01T09:21:30Z","2026-06-01T09:25:30Z",2,3,2,5,"in_person"
"R032","2026-06-01T09:22:07Z","2026-06-01T09:26:07Z",5,5,2,3,"in_person"
"R033","2026-06-01T09:22:44Z","2026-06-01T09:26:44Z",4,4,2,5,"in_person"
"R034","2026-06-01T09:23:21Z","2026-06-01T09:27:21Z",5,5,3,3,"online"
"R035","2026-06-01T09:23:58Z","2026-06-01T09:27:58Z",5,3,2,4,"in_person"
"R036","2026-06-01T09:24:35Z","2026-06-01T09:28:35Z",4,2,2,3,"in_person"
"R037","2026-06-01T09:25:12Z","2026-06-01T09:29:12Z",5,2,1,2,"in_person"
"R038","2026-06-01T09:25:49Z","2026-06-01T09:29:49Z",3,5,4,4,"in_person"
"R039","2026-06-01T09:26:26Z","2026-06-01T09:30:26Z",4,2,3,4,"online"
"R040","2026-06-01T09:27:03Z","2026-06-01T09:31:03Z",5,3,2,4,"in_person"
"R041","2026-06-01T09:27:40Z","2026-06-01T09:31:40Z",5,3,4,4,"in_person"
"R042","2026-06-01T09:28:17Z","2026-06-01T09:32:17Z",2,3,3,4,"online"
"R043","2026-06-01T09:28:54Z","2026-06-01T09:32:54Z",5,4,2,4,"in_person"
"R044","2026-06-01T09:29:31Z","2026-06-01T09:33:31Z",5,4,2,4,"in_person"
"R045","2026-06-01T09:30:08Z","2026-06-01T09:34:08Z",4,3,4,2,"online"
"R046","2026-06-01T09:30:45Z","2026-06-01T09:34:45Z",4,3,3,3,"in_person"
"R047","2026-06-01T09:31:22Z","2026-06-01T09:35:22Z",5,3,1,5,"online"
"R048","2026-06-01T09:31:59Z","2026-06-01T09:35:59Z",5,3,5,4,"in_person"
"R049","2026-06-01T09:32:36Z","2026-06-01T09:36:36Z",4,3,2,3,"in_person"
"R050","2026-06-01T09:33:13Z","2026-06-01T09:37:13Z",5,2,2,4,"online"
