"block","method","quantity","value"
"RQ1","descriptives","apa","Descriptive statistics were computed for 4 variable(s)."
"RQ1","descriptives","n [1]","50"
"RQ1","descriptives","n [2]","50"
"RQ1","descriptives","n [3]","50"
"RQ1","descriptives","n [4]","50"
"RQ1","descriptives","valid_n [1]","50"
"RQ1","descriptives","valid_n [2]","50"
"RQ1","descriptives","valid_n [3]","50"
"RQ1","descriptives","valid_n [4]","50"
"RQ1","descriptives","missing_n [1]","0"
"RQ1","descriptives","missing_n [2]","0"
"RQ1","descriptives","missing_n [3]","0"
"RQ1","descriptives","missing_n [4]","0"
"RQ1","descriptives","mean [1]","4.16"
"RQ1","descriptives","mean [2]","3.24"
"RQ1","descriptives","mean [3]","2.56"
"RQ1","descriptives","mean [4]","3.6"
"RQ1","descriptives","sd [1]","0.955329"
"RQ1","descriptives","sd [2]","0.893514"
"RQ1","descriptives","sd [3]","0.972269"
"RQ1","descriptives","sd [4]","0.880631"
"RQ1","descriptives","median [1]","4"
"RQ1","descriptives","median [2]","3"
"RQ1","descriptives","median [3]","2"
"RQ1","descriptives","median [4]","4"
"RQ1","descriptives","iqr [1]","1"
"RQ1","descriptives","iqr [2]","1"
"RQ1","descriptives","iqr [3]","1"
"RQ1","descriptives","iqr [4]","1"
"RQ1","descriptives","min [1]","2"
"RQ1","descriptives","min [2]","2"
"RQ1","descriptives","min [3]","1"
"RQ1","descriptives","min [4]","1"
"RQ1","descriptives","max [1]","5"
"RQ1","descriptives","max [2]","5"
"RQ1","descriptives","max [3]","5"
"RQ1","descriptives","max [4]","5"
"RQ1","descriptives","skewness [1]","-0.864115"
"RQ1","descriptives","skewness [2]","0.368469"
"RQ1","descriptives","skewness [3]","0.552755"
"RQ1","descriptives","skewness [4]","-0.562277"
"RQ1","descriptives","kurtosis [1]","-0.32975"
"RQ1","descriptives","kurtosis [2]","-0.624767"
"RQ1","descriptives","kurtosis [3]","-0.112199"
"RQ1","descriptives","kurtosis [4]","0.243013"
"RQ1","descriptives","se [1]","0.135104"
"RQ1","descriptives","se [2]","0.126362"
"RQ1","descriptives","se [3]","0.1375"
"RQ1","descriptives","se [4]","0.12454"
"RQ1","descriptives","ci_low [1]","3.8885"
"RQ1","descriptives","ci_low [2]","2.98607"
"RQ1","descriptives","ci_low [3]","2.28368"
"RQ1","descriptives","ci_low [4]","3.34973"
"RQ1","descriptives","ci_high [1]","4.4315"
"RQ1","descriptives","ci_high [2]","3.49393"
"RQ1","descriptives","ci_high [3]","2.83632"
"RQ1","descriptives","ci_high [4]","3.85027"
"RQ1","descriptives","weighted_mean [1]","NA"
"RQ1","descriptives","weighted_mean [2]","NA"
"RQ1","descriptives","weighted_mean [3]","NA"
"RQ1","descriptives","weighted_mean [4]","NA"
"RQ2","frequency","apa","Frequency distribution for session__Opening keynote (N = 50)."
"RQ2","frequency","Frequency [1]","23"
"RQ2","frequency","Frequency [2]","16"
"RQ2","frequency","Frequency [3]","7"
"RQ2","frequency","Frequency [4]","4"
"RQ2","frequency","Percent [1]","46"
"RQ2","frequency","Percent [2]","32"
"RQ2","frequency","Percent [3]","14"
"RQ2","frequency","Percent [4]","8"
"RQ3","crosstab","apa","χ²(3, N = 50) = 2.90, p = 0.407, V = 0.24 [0.11, 0.50]"
"RQ3","crosstab","In person: Fair","3"
"RQ3","crosstab","Online: Fair","1"
"RQ3","crosstab","In person: Good","6"
"RQ3","crosstab","Online: Good","1"
"RQ3","crosstab","In person: Very good","10"
"RQ3","crosstab","Online: Very good","6"
"RQ3","crosstab","In person: Excellent","12"
"RQ3","crosstab","Online: Excellent","11"
