"respondent_id","started_at","submitted_at","attendee_role","format","age","sessions_attended"
"R001","2026-06-01T09:06:00Z","2026-06-01T09:10:00Z","student","in_person",58,6
"R002","2026-06-01T09:06:37Z","2026-06-01T09:10:37Z","practitioner","online",44,8
"R003","2026-06-01T09:07:14Z","2026-06-01T09:11:14Z","academic","online",42,3
"R004","2026-06-01T09:07:51Z","2026-06-01T09:11:51Z","student","in_person",51,8
"R005","2026-06-01T09:08:28Z","2026-06-01T09:12:28Z","practitioner","online",57,10
"R006","2026-06-01T09:09:05Z","2026-06-01T09:13:05Z","academic","in_person",44,7
"R007","2026-06-01T09:09:42Z","2026-06-01T09:13:42Z","student","online",41,7
"R008","2026-06-01T09:10:19Z","2026-06-01T09:14:19Z","practitioner","online",41,8
"R009","2026-06-01T09:10:56Z","2026-06-01T09:14:56Z","academic","in_person",39,5
"R010","2026-06-01T09:11:33Z","2026-06-01T09:15:33Z","student","in_person",21,5
"R011","2026-06-01T09:12:10Z","2026-06-01T09:16:10Z","practitioner","in_person",53,7
"R012","2026-06-01T09:12:47Z","2026-06-01T09:16:47Z","academic","in_person",41,7
"R013","2026-06-01T09:13:24Z","2026-06-01T09:17:24Z","student","in_person",38,9
"R014","2026-06-01T09:14:01Z","2026-06-01T09:18:01Z","practitioner","in_person",56,6
"R015","2026-06-01T09:14:38Z","2026-06-01T09:18:38Z","academic","in_person",48,7
"R016","2026-06-01T09:15:15Z","2026-06-01T09:19:15Z","student","in_person",52,4
"R017","2026-06-01T09:15:52Z","2026-06-01T09:19:52Z","practitioner","in_person",33,8
"R018","2026-06-01T09:16:29Z","2026-06-01T09:20:29Z","academic","in_person",39,8
"R019","2026-06-01T09:17:06Z","2026-06-01T09:21:06Z","student","in_person",43,5
"R020","2026-06-01T09:17:43Z","2026-06-01T09:21:43Z","practitioner","in_person",30,8
"R021","2026-06-01T09:18:20Z","2026-06-01T09:22:20Z","academic","online",44,9
"R022","2026-06-01T09:18:57Z","2026-06-01T09:22:57Z","student","online",29,4
"R023","2026-06-01T09:19:34Z","2026-06-01T09:23:34Z","practitioner","in_person",51,8
"R024","2026-06-01T09:20:11Z","2026-06-01T09:24:11Z","academic","in_person",38,5
"R025","2026-06-01T09:20:48Z","2026-06-01T09:24:48Z","student","in_person",55,8
"R026","2026-06-01T09:21:25Z","2026-06-01T09:25:25Z","practitioner","in_person",20,6
"R027","2026-06-01T09:22:02Z","2026-06-01T09:26:02Z","academic","in_person",32,7
"R028","2026-06-01T09:22:39Z","2026-06-01T09:26:39Z","student","in_person",32,8
"R029","2026-06-01T09:23:16Z","2026-06-01T09:27:16Z","practitioner","in_person",41,7
"R030","2026-06-01T09:23:53Z","2026-06-01T09:27:53Z","academic","online",40,8
"R031","2026-06-01T09:24:30Z","2026-06-01T09:28:30Z","student","in_person",56,3
"R032","2026-06-01T09:25:07Z","2026-06-01T09:29:07Z","practitioner","online",47,9
"R033","2026-06-01T09:25:44Z","2026-06-01T09:29:44Z","academic","online",51,7
"R034","2026-06-01T09:26:21Z","2026-06-01T09:30:21Z","student","in_person",43,3
"R035","2026-06-01T09:26:58Z","2026-06-01T09:30:58Z","practitioner","in_person",48,8
"R036","2026-06-01T09:27:35Z","2026-06-01T09:31:35Z","academic","online",28,3
"R037","2026-06-01T09:28:12Z","2026-06-01T09:32:12Z","student","online",36,5
"R038","2026-06-01T09:28:49Z","2026-06-01T09:32:49Z","practitioner","in_person",48,7
"R039","2026-06-01T09:29:26Z","2026-06-01T09:33:26Z","academic","online",35,4
"R040","2026-06-01T09:30:03Z","2026-06-01T09:34:03Z","student","online",54,4
"R041","2026-06-01T09:30:40Z","2026-06-01T09:34:40Z","practitioner","in_person",44,6
"R042","2026-06-01T09:31:17Z","2026-06-01T09:35:17Z","academic","in_person",69,8
"R043","2026-06-01T09:31:54Z","2026-06-01T09:35:54Z","student","in_person",32,3
"R044","2026-06-01T09:32:31Z","2026-06-01T09:36:31Z","practitioner","in_person",19,7
"R045","2026-06-01T09:33:08Z","2026-06-01T09:37:08Z","academic","in_person",34,4
"R046","2026-06-01T09:33:45Z","2026-06-01T09:37:45Z","student","in_person",48,5
"R047","2026-06-01T09:34:22Z","2026-06-01T09:38:22Z","practitioner","online",35,6
"R048","2026-06-01T09:34:59Z","2026-06-01T09:38:59Z","academic","in_person",45,9
"R049","2026-06-01T09:35:36Z","2026-06-01T09:39:36Z","student","in_person",38,5
"R050","2026-06-01T09:36:13Z","2026-06-01T09:40:13Z","practitioner","in_person",60,10
"R051","2026-06-01T09:36:50Z","2026-06-01T09:40:50Z","academic","in_person",53,7
"R052","2026-06-01T09:37:27Z","2026-06-01T09:41:27Z","student","online",52,6
"R053","2026-06-01T09:38:04Z","2026-06-01T09:42:04Z","practitioner","in_person",34,6
