"block","method","quantity","value"
"RQ1","anova_one","apa","F(2, 72) = 7.27, p = 0.001, η² = 0.168 [0.07, 0.34]"
"RQ1","anova_one","df1","2"
"RQ1","anova_one","df2","72"
"RQ2","kruskal_wallis","apa","H(2) = 12.01, p = 0.002, η² = 0.139 [0.02, 0.33]"
"RQ2","kruskal_wallis","df","2"
"RQ3","anova_two","apa","Two-way ANOVA estimated main effects and the interaction term."
"RQ3","anova_two","df [1]","2"
"RQ3","anova_two","df [2]","1"
"RQ3","anova_two","df [3]","2"
"RQ3","anova_two","df [4]","69"
"RQ3","anova_two","sum_sq [1]","40.4267"
"RQ3","anova_two","sum_sq [2]","0.0372165"
"RQ3","anova_two","sum_sq [3]","13.4734"
"RQ3","anova_two","sum_sq [4]","186.649"
"RQ3","anova_two","mean_sq [1]","20.2133"
"RQ3","anova_two","mean_sq [2]","0.0372165"
"RQ3","anova_two","mean_sq [3]","6.7367"
"RQ3","anova_two","mean_sq [4]","2.70506"
"RQ3","anova_two","F [1]","7.47241"
"RQ3","anova_two","F [2]","0.0137581"
"RQ3","anova_two","F [3]","2.4904"
"RQ3","anova_two","F [4]","NA"
"RQ3","anova_two","p [1]","0.0011548"
"RQ3","anova_two","p [2]","0.906967"
"RQ3","anova_two","p [3]","0.0902998"
"RQ3","anova_two","p [4]","NA"
"RQ3","anova_two","partial_eta_sq [1]","0.178031"
"RQ3","anova_two","partial_eta_sq [2]","0.000199353"
"RQ3","anova_two","partial_eta_sq [3]","0.0673256"
"RQ3","anova_two","partial_eta_sq [4]","0.5"
"RQ4","ancova","apa","ANCOVA estimated group differences adjusted for covariates."
"RQ4","ancova","Df [1]","2"
"RQ4","ancova","Df [2]","1"
"RQ4","ancova","Df [3]","71"
"RQ4","ancova","Sum Sq [1]","40.4267"
"RQ4","ancova","Sum Sq [2]","12.3637"
"RQ4","ancova","Sum Sq [3]","187.796"
"RQ4","ancova","Mean Sq [1]","20.2133"
"RQ4","ancova","Mean Sq [2]","12.3637"
"RQ4","ancova","Mean Sq [3]","2.64502"
"RQ4","ancova","F value [1]","7.64204"
"RQ4","ancova","F value [2]","4.67435"
"RQ4","ancova","F value [3]","NA"
"RQ4","ancova","Pr(>F) [1]","0.00098658"
"RQ4","ancova","Pr(>F) [2]","0.0339879"
"RQ4","ancova","Pr(>F) [3]","NA"
