"respondent_id","started_at","submitted_at","sessions_chosen__keynote","sessions_chosen__workshop","sessions_chosen__panel","sessions_chosen__poster","sessions_chosen__social","rank_priorities__content","rank_priorities__networking","rank_priorities__location"
"R001","2026-06-01T09:17:00Z","2026-06-01T09:21:00Z",1,1,0,0,0,1,2,3
"R002","2026-06-01T09:17:37Z","2026-06-01T09:21:37Z",1,1,1,0,0,1,2,3
"R003","2026-06-01T09:18:14Z","2026-06-01T09:22:14Z",1,1,0,0,1,1,2,3
"R004","2026-06-01T09:18:51Z","2026-06-01T09:22:51Z",0,1,1,0,1,2,1,3
"R005","2026-06-01T09:19:28Z","2026-06-01T09:23:28Z",0,0,1,1,0,2,1,3
"R006","2026-06-01T09:20:05Z","2026-06-01T09:24:05Z",1,1,0,0,1,1,2,3
"R007","2026-06-01T09:20:42Z","2026-06-01T09:24:42Z",1,1,0,0,0,1,2,3
"R008","2026-06-01T09:21:19Z","2026-06-01T09:25:19Z",0,0,0,0,0,2,1,3
"R009","2026-06-01T09:21:56Z","2026-06-01T09:25:56Z",1,1,0,0,0,1,2,3
"R010","2026-06-01T09:22:33Z","2026-06-01T09:26:33Z",0,0,0,0,0,1,2,3
"R011","2026-06-01T09:23:10Z","2026-06-01T09:27:10Z",0,1,0,0,1,2,3,1
"R012","2026-06-01T09:23:47Z","2026-06-01T09:27:47Z",0,0,0,0,0,1,2,3
"R013","2026-06-01T09:24:24Z","2026-06-01T09:28:24Z",0,1,0,0,1,1,2,3
"R014","2026-06-01T09:25:01Z","2026-06-01T09:29:01Z",0,0,0,1,1,3,2,1
"R015","2026-06-01T09:25:38Z","2026-06-01T09:29:38Z",1,0,1,0,1,1,2,3
"R016","2026-06-01T09:26:15Z","2026-06-01T09:30:15Z",1,1,1,1,0,3,2,1
"R017","2026-06-01T09:26:52Z","2026-06-01T09:30:52Z",1,0,1,0,0,1,2,3
"R018","2026-06-01T09:27:29Z","2026-06-01T09:31:29Z",0,0,0,0,1,1,2,3
"R019","2026-06-01T09:28:06Z","2026-06-01T09:32:06Z",1,0,0,0,0,1,2,3
"R020","2026-06-01T09:28:43Z","2026-06-01T09:32:43Z",1,1,0,0,0,2,3,1
"R021","2026-06-01T09:29:20Z","2026-06-01T09:33:20Z",1,0,0,0,1,1,2,3
"R022","2026-06-01T09:29:57Z","2026-06-01T09:33:57Z",1,1,0,0,0,1,3,2
"R023","2026-06-01T09:30:34Z","2026-06-01T09:34:34Z",1,1,0,0,0,1,2,3
