"block","method","quantity","value"
"RQ1","descriptives","apa","Descriptive statistics were computed for 5 variable(s)."
"RQ1","descriptives","n [1]","60"
"RQ1","descriptives","n [2]","60"
"RQ1","descriptives","n [3]","60"
"RQ1","descriptives","n [4]","60"
"RQ1","descriptives","n [5]","60"
"RQ1","descriptives","valid_n [1]","60"
"RQ1","descriptives","valid_n [2]","60"
"RQ1","descriptives","valid_n [3]","60"
"RQ1","descriptives","valid_n [4]","60"
"RQ1","descriptives","valid_n [5]","60"
"RQ1","descriptives","missing_n [1]","0"
"RQ1","descriptives","missing_n [2]","0"
"RQ1","descriptives","missing_n [3]","0"
"RQ1","descriptives","missing_n [4]","0"
"RQ1","descriptives","missing_n [5]","0"
"RQ1","descriptives","mean [1]","0.7"
"RQ1","descriptives","mean [2]","0.55"
"RQ1","descriptives","mean [3]","0.333333"
"RQ1","descriptives","mean [4]","0.183333"
"RQ1","descriptives","mean [5]","0.416667"
"RQ1","descriptives","sd [1]","0.462125"
"RQ1","descriptives","sd [2]","0.501692"
"RQ1","descriptives","sd [3]","0.475383"
"RQ1","descriptives","sd [4]","0.390205"
"RQ1","descriptives","sd [5]","0.497167"
"RQ1","descriptives","median [1]","1"
"RQ1","descriptives","median [2]","1"
"RQ1","descriptives","median [3]","0"
"RQ1","descriptives","median [4]","0"
"RQ1","descriptives","median [5]","0"
"RQ1","descriptives","iqr [1]","1"
"RQ1","descriptives","iqr [2]","1"
"RQ1","descriptives","iqr [3]","1"
"RQ1","descriptives","iqr [4]","0"
"RQ1","descriptives","iqr [5]","1"
"RQ1","descriptives","min [1]","0"
"RQ1","descriptives","min [2]","0"
"RQ1","descriptives","min [3]","0"
"RQ1","descriptives","min [4]","0"
"RQ1","descriptives","min [5]","0"
"RQ1","descriptives","max [1]","1"
"RQ1","descriptives","max [2]","1"
"RQ1","descriptives","max [3]","1"
"RQ1","descriptives","max [4]","1"
"RQ1","descriptives","max [5]","1"
"RQ1","descriptives","skewness [1]","-0.851141"
"RQ1","descriptives","skewness [2]","-0.196003"
"RQ1","descriptives","skewness [3]","0.689503"
"RQ1","descriptives","skewness [4]","1.59603"
"RQ1","descriptives","skewness [5]","0.329645"
"RQ1","descriptives","kurtosis [1]","-1.29634"
"RQ1","descriptives","kurtosis [2]","-1.99399"
"RQ1","descriptives","kurtosis [3]","-1.54958"
"RQ1","descriptives","kurtosis [4]","0.557423"
"RQ1","descriptives","kurtosis [5]","-1.92255"
"RQ1","descriptives","se [1]","0.0596601"
"RQ1","descriptives","se [2]","0.0647682"
"RQ1","descriptives","se [3]","0.0613716"
"RQ1","descriptives","se [4]","0.0503752"
"RQ1","descriptives","se [5]","0.064184"
"RQ1","descriptives","ci_low [1]","0.580621"
"RQ1","descriptives","ci_low [2]","0.420399"
"RQ1","descriptives","ci_low [3]","0.210529"
"RQ1","descriptives","ci_low [4]","0.0825327"
"RQ1","descriptives","ci_low [5]","0.288235"
"RQ1","descriptives","ci_high [1]","0.819379"
"RQ1","descriptives","ci_high [2]","0.679601"
"RQ1","descriptives","ci_high [3]","0.456138"
"RQ1","descriptives","ci_high [4]","0.284134"
"RQ1","descriptives","ci_high [5]","0.545099"
"RQ1","descriptives","weighted_mean [1]","NA"
"RQ1","descriptives","weighted_mean [2]","NA"
"RQ1","descriptives","weighted_mean [3]","NA"
"RQ1","descriptives","weighted_mean [4]","NA"
"RQ1","descriptives","weighted_mean [5]","NA"
"RQ2","cochran_q","apa","Cochran's Q(4, N = 60) = 37.05, p < .001"
"RQ3","descriptives","apa","Descriptive statistics were computed for 3 variable(s)."
"RQ3","descriptives","n [1]","60"
"RQ3","descriptives","n [2]","60"
"RQ3","descriptives","n [3]","60"
"RQ3","descriptives","valid_n [1]","60"
"RQ3","descriptives","valid_n [2]","60"
"RQ3","descriptives","valid_n [3]","60"
"RQ3","descriptives","missing_n [1]","0"
"RQ3","descriptives","missing_n [2]","0"
"RQ3","descriptives","missing_n [3]","0"
"RQ3","descriptives","mean [1]","1.28333"
"RQ3","descriptives","mean [2]","2.01667"
"RQ3","descriptives","mean [3]","2.7"
"RQ3","descriptives","sd [1]","0.613179"
"RQ3","descriptives","sd [2]","0.469102"
"RQ3","descriptives","sd [3]","0.645716"
"RQ3","descriptives","median [1]","1"
"RQ3","descriptives","median [2]","2"
"RQ3","descriptives","median [3]","3"
"RQ3","descriptives","iqr [1]","0"
"RQ3","descriptives","iqr [2]","0"
"RQ3","descriptives","iqr [3]","0"
"RQ3","descriptives","min [1]","1"
"RQ3","descriptives","min [2]","1"
"RQ3","descriptives","min [3]","1"
"RQ3","descriptives","max [1]","3"
"RQ3","descriptives","max [2]","3"
"RQ3","descriptives","max [3]","3"
"RQ3","descriptives","skewness [1]","1.93592"
"RQ3","descriptives","skewness [2]","0.0565984"
"RQ3","descriptives","skewness [3]","-1.872"
"RQ3","descriptives","kurtosis [1]","2.3735"
"RQ3","descriptives","kurtosis [2]","1.45879"
"RQ3","descriptives","kurtosis [3]","1.97968"
"RQ3","descriptives","se [1]","0.0791611"
"RQ3","descriptives","se [2]","0.0605608"
"RQ3","descriptives","se [3]","0.0833616"
"RQ3","descriptives","ci_low [1]","1.12493"
"RQ3","descriptives","ci_low [2]","1.89548"
"RQ3","descriptives","ci_low [3]","2.53319"
"RQ3","descriptives","ci_high [1]","1.44173"
"RQ3","descriptives","ci_high [2]","2.13785"
"RQ3","descriptives","ci_high [3]","2.86681"
"RQ3","descriptives","weighted_mean [1]","NA"
"RQ3","descriptives","weighted_mean [2]","NA"
"RQ3","descriptives","weighted_mean [3]","NA"
