"respondent_id","started_at","submitted_at","confidence_before","confidence_after","recommend_before","recommend_after"
"R001","2026-06-01T09:05:00Z","2026-06-01T09:09:00Z",86,86,"no","yes"
"R002","2026-06-01T09:05:37Z","2026-06-01T09:09:37Z",68,97,"yes","yes"
"R003","2026-06-01T09:06:14Z","2026-06-01T09:10:14Z",81,82,"no","no"
"R004","2026-06-01T09:06:51Z","2026-06-01T09:10:51Z",76,74,"yes","yes"
"R005","2026-06-01T09:07:28Z","2026-06-01T09:11:28Z",28,20,"no","yes"
"R006","2026-06-01T09:08:05Z","2026-06-01T09:12:05Z",56,79,"yes","yes"
"R007","2026-06-01T09:08:42Z","2026-06-01T09:12:42Z",52,58,"yes","yes"
"R008","2026-06-01T09:09:19Z","2026-06-01T09:13:19Z",44,41,"yes","yes"
"R009","2026-06-01T09:09:56Z","2026-06-01T09:13:56Z",57,90,"yes","yes"
"R010","2026-06-01T09:10:33Z","2026-06-01T09:14:33Z",57,43,"no","no"
"R011","2026-06-01T09:11:10Z","2026-06-01T09:15:10Z",72,72,"no","yes"
"R012","2026-06-01T09:11:47Z","2026-06-01T09:15:47Z",60,85,"no","no"
"R013","2026-06-01T09:12:24Z","2026-06-01T09:16:24Z",60,75,"no","yes"
"R014","2026-06-01T09:13:01Z","2026-06-01T09:17:01Z",63,63,"no","yes"
"R015","2026-06-01T09:13:38Z","2026-06-01T09:17:38Z",76,85,"yes","yes"
"R016","2026-06-01T09:14:15Z","2026-06-01T09:18:15Z",52,67,"no","no"
"R017","2026-06-01T09:14:52Z","2026-06-01T09:18:52Z",46,75,"yes","yes"
"R018","2026-06-01T09:15:29Z","2026-06-01T09:19:29Z",28,34,"no","no"
"R019","2026-06-01T09:16:06Z","2026-06-01T09:20:06Z",50,55,"no","no"
"R020","2026-06-01T09:16:43Z","2026-06-01T09:20:43Z",63,71,"no","no"
"R021","2026-06-01T09:17:20Z","2026-06-01T09:21:20Z",44,56,"no","no"
"R022","2026-06-01T09:17:57Z","2026-06-01T09:21:57Z",69,93,"yes","yes"
"R023","2026-06-01T09:18:34Z","2026-06-01T09:22:34Z",61,68,"no","no"
"R024","2026-06-01T09:19:11Z","2026-06-01T09:23:11Z",64,100,"no","yes"
"R025","2026-06-01T09:19:48Z","2026-06-01T09:23:48Z",83,99,"yes","yes"
"R026","2026-06-01T09:20:25Z","2026-06-01T09:24:25Z",66,65,"no","yes"
"R027","2026-06-01T09:21:02Z","2026-06-01T09:25:02Z",68,62,"no","yes"
"R028","2026-06-01T09:21:39Z","2026-06-01T09:25:39Z",52,53,"no","no"
"R029","2026-06-01T09:22:16Z","2026-06-01T09:26:16Z",64,71,"yes","yes"
"R030","2026-06-01T09:22:53Z","2026-06-01T09:26:53Z",51,54,"yes","yes"
"R031","2026-06-01T09:23:30Z","2026-06-01T09:27:30Z",42,68,"no","yes"
"R032","2026-06-01T09:24:07Z","2026-06-01T09:28:07Z",39,40,"yes","yes"
"R033","2026-06-01T09:24:44Z","2026-06-01T09:28:44Z",52,73,"yes","yes"
"R034","2026-06-01T09:25:21Z","2026-06-01T09:29:21Z",42,55,"no","yes"
"R035","2026-06-01T09:25:58Z","2026-06-01T09:29:58Z",46,64,"yes","yes"
"R036","2026-06-01T09:26:35Z","2026-06-01T09:30:35Z",44,60,"no","yes"
"R037","2026-06-01T09:27:12Z","2026-06-01T09:31:12Z",56,54,"no","no"
"R038","2026-06-01T09:27:49Z","2026-06-01T09:31:49Z",38,30,"yes","yes"
"R039","2026-06-01T09:28:26Z","2026-06-01T09:32:26Z",53,62,"yes","yes"
"R040","2026-06-01T09:29:03Z","2026-06-01T09:33:03Z",58,60,"no","no"
"R041","2026-06-01T09:29:40Z","2026-06-01T09:33:40Z",56,90,"no","yes"
"R042","2026-06-01T09:30:17Z","2026-06-01T09:34:17Z",77,79,"yes","yes"
"R043","2026-06-01T09:30:54Z","2026-06-01T09:34:54Z",51,50,"yes","yes"
"R044","2026-06-01T09:31:31Z","2026-06-01T09:35:31Z",35,44,"no","no"
"R045","2026-06-01T09:32:08Z","2026-06-01T09:36:08Z",64,60,"yes","yes"
"R046","2026-06-01T09:32:45Z","2026-06-01T09:36:45Z",56,52,"yes","yes"
"R047","2026-06-01T09:33:22Z","2026-06-01T09:37:22Z",68,77,"yes","yes"
"R048","2026-06-01T09:33:59Z","2026-06-01T09:37:59Z",63,68,"no","no"
"R049","2026-06-01T09:34:36Z","2026-06-01T09:38:36Z",36,45,"yes","yes"
"R050","2026-06-01T09:35:13Z","2026-06-01T09:39:13Z",48,50,"no","yes"
