"block","method","quantity","value"
"RQ1","t_test_pair","apa","t(49) = -5.11, p < .001, d_z = -0.72 [-1.00, -0.49]"
"RQ1","t_test_pair","n [1]","50"
"RQ1","t_test_pair","n [2]","50"
"RQ2","wilcoxon_pair","apa","V = 156, z = -4.31, p < .001, r = 0.61 [0.43, 0.77], pseudomedian = -7.50 [-12.00, -4.00]"
"RQ2","wilcoxon_pair","n [1]","50"
"RQ2","wilcoxon_pair","n [2]","50"
"RQ3","mcnemar","apa","McNemar's chi-square(1) = 11.08, p < .001"
"RQ3","mcnemar","No: No","14"
"RQ3","mcnemar","Yes: No","0"
"RQ3","mcnemar","No: Yes","13"
"RQ3","mcnemar","Yes: Yes","23"
