"respondent_id","started_at","submitted_at","day1_rating","day2_rating","day3_rating"
"R001","2026-06-01T09:07:00Z","2026-06-01T09:11:00Z",2,3,3
"R002","2026-06-01T09:07:37Z","2026-06-01T09:11:37Z",3,3,3
"R003","2026-06-01T09:08:14Z","2026-06-01T09:12:14Z",4,3,4
"R004","2026-06-01T09:08:51Z","2026-06-01T09:12:51Z",4,4,4
"R005","2026-06-01T09:09:28Z","2026-06-01T09:13:28Z",4,4,4
"R006","2026-06-01T09:10:05Z","2026-06-01T09:14:05Z",4,3,3
"R007","2026-06-01T09:10:42Z","2026-06-01T09:14:42Z",3,4,3
"R008","2026-06-01T09:11:19Z","2026-06-01T09:15:19Z",4,3,4
"R009","2026-06-01T09:11:56Z","2026-06-01T09:15:56Z",4,4,3
"R010","2026-06-01T09:12:33Z","2026-06-01T09:16:33Z",5,4,5
"R011","2026-06-01T09:13:10Z","2026-06-01T09:17:10Z",4,3,4
"R012","2026-06-01T09:13:47Z","2026-06-01T09:17:47Z",4,4,4
"R013","2026-06-01T09:14:24Z","2026-06-01T09:18:24Z",4,4,4
"R014","2026-06-01T09:15:01Z","2026-06-01T09:19:01Z",4,3,4
"R015","2026-06-01T09:15:38Z","2026-06-01T09:19:38Z",3,4,5
"R016","2026-06-01T09:16:15Z","2026-06-01T09:20:15Z",4,2,5
"R017","2026-06-01T09:16:52Z","2026-06-01T09:20:52Z",4,4,4
"R018","2026-06-01T09:17:29Z","2026-06-01T09:21:29Z",2,2,3
"R019","2026-06-01T09:18:06Z","2026-06-01T09:22:06Z",2,2,3
"R020","2026-06-01T09:18:43Z","2026-06-01T09:22:43Z",3,4,5
"R021","2026-06-01T09:19:20Z","2026-06-01T09:23:20Z",3,4,4
"R022","2026-06-01T09:19:57Z","2026-06-01T09:23:57Z",3,4,4
"R023","2026-06-01T09:20:34Z","2026-06-01T09:24:34Z",5,5,5
"R024","2026-06-01T09:21:11Z","2026-06-01T09:25:11Z",4,4,5
"R025","2026-06-01T09:21:48Z","2026-06-01T09:25:48Z",2,3,3
"R026","2026-06-01T09:22:25Z","2026-06-01T09:26:25Z",2,3,4
"R027","2026-06-01T09:23:02Z","2026-06-01T09:27:02Z",3,4,5
"R028","2026-06-01T09:23:39Z","2026-06-01T09:27:39Z",3,4,3
"R029","2026-06-01T09:24:16Z","2026-06-01T09:28:16Z",3,3,4
"R030","2026-06-01T09:24:53Z","2026-06-01T09:28:53Z",3,2,3
"R031","2026-06-01T09:25:30Z","2026-06-01T09:29:30Z",4,5,5
"R032","2026-06-01T09:26:07Z","2026-06-01T09:30:07Z",2,3,3
"R033","2026-06-01T09:26:44Z","2026-06-01T09:30:44Z",4,4,5
"R034","2026-06-01T09:27:21Z","2026-06-01T09:31:21Z",3,4,4
"R035","2026-06-01T09:27:58Z","2026-06-01T09:31:58Z",3,4,5
"R036","2026-06-01T09:28:35Z","2026-06-01T09:32:35Z",3,3,5
"R037","2026-06-01T09:29:12Z","2026-06-01T09:33:12Z",4,4,5
"R038","2026-06-01T09:29:49Z","2026-06-01T09:33:49Z",3,1,2
"R039","2026-06-01T09:30:26Z","2026-06-01T09:34:26Z",3,3,5
"R040","2026-06-01T09:31:03Z","2026-06-01T09:35:03Z",3,4,4
"R041","2026-06-01T09:31:40Z","2026-06-01T09:35:40Z",3,3,4
"R042","2026-06-01T09:32:17Z","2026-06-01T09:36:17Z",3,3,3
"R043","2026-06-01T09:32:54Z","2026-06-01T09:36:54Z",4,3,3
"R044","2026-06-01T09:33:31Z","2026-06-01T09:37:31Z",2,3,3
"R045","2026-06-01T09:34:08Z","2026-06-01T09:38:08Z",3,4,5
"R046","2026-06-01T09:34:45Z","2026-06-01T09:38:45Z",2,4,3
"R047","2026-06-01T09:35:22Z","2026-06-01T09:39:22Z",3,4,4
"R048","2026-06-01T09:35:59Z","2026-06-01T09:39:59Z",5,5,5
"R049","2026-06-01T09:36:36Z","2026-06-01T09:40:36Z",3,3,3
"R050","2026-06-01T09:37:13Z","2026-06-01T09:41:13Z",4,2,4
