"item_id","item_label","type","scale_id","value","value_label"
"cq_1","The sessions were relevant.","likert","content_quality","1","Strongly disagree"
"cq_1","The sessions were relevant.","likert","content_quality","2","Disagree"
"cq_1","The sessions were relevant.","likert","content_quality","3","Neither agree nor disagree"
"cq_1","The sessions were relevant.","likert","content_quality","4","Agree"
"cq_1","The sessions were relevant.","likert","content_quality","5","Strongly agree"
"cq_2","The material went deep enough.","likert","content_quality","1","Strongly disagree"
"cq_2","The material went deep enough.","likert","content_quality","2","Disagree"
"cq_2","The material went deep enough.","likert","content_quality","3","Neither agree nor disagree"
"cq_2","The material went deep enough.","likert","content_quality","4","Agree"
"cq_2","The material went deep enough.","likert","content_quality","5","Strongly agree"
"cq_3","The speakers knew their subject.","likert","content_quality","1","Strongly disagree"
"cq_3","The speakers knew their subject.","likert","content_quality","2","Disagree"
"cq_3","The speakers knew their subject.","likert","content_quality","3","Neither agree nor disagree"
"cq_3","The speakers knew their subject.","likert","content_quality","4","Agree"
"cq_3","The speakers knew their subject.","likert","content_quality","5","Strongly agree"
"sa_1","I was satisfied with the event.","likert","satisfaction","1","Strongly disagree"
"sa_1","I was satisfied with the event.","likert","satisfaction","2","Disagree"
"sa_1","I was satisfied with the event.","likert","satisfaction","3","Neither agree nor disagree"
"sa_1","I was satisfied with the event.","likert","satisfaction","4","Agree"
"sa_1","I was satisfied with the event.","likert","satisfaction","5","Strongly agree"
"sa_2","The event met my expectations.","likert","satisfaction","1","Strongly disagree"
"sa_2","The event met my expectations.","likert","satisfaction","2","Disagree"
"sa_2","The event met my expectations.","likert","satisfaction","3","Neither agree nor disagree"
"sa_2","The event met my expectations.","likert","satisfaction","4","Agree"
"sa_2","The event met my expectations.","likert","satisfaction","5","Strongly agree"
"sa_3","It was a good use of my time.","likert","satisfaction","1","Strongly disagree"
"sa_3","It was a good use of my time.","likert","satisfaction","2","Disagree"
"sa_3","It was a good use of my time.","likert","satisfaction","3","Neither agree nor disagree"
"sa_3","It was a good use of my time.","likert","satisfaction","4","Agree"
"sa_3","It was a good use of my time.","likert","satisfaction","5","Strongly agree"
"it_1","I will attend next year.","likert","intention","1","Strongly disagree"
"it_1","I will attend next year.","likert","intention","2","Disagree"
"it_1","I will attend next year.","likert","intention","3","Neither agree nor disagree"
"it_1","I will attend next year.","likert","intention","4","Agree"
"it_1","I will attend next year.","likert","intention","5","Strongly agree"
"it_2","I would recommend it to a colleague.","likert","intention","1","Strongly disagree"
"it_2","I would recommend it to a colleague.","likert","intention","2","Disagree"
"it_2","I would recommend it to a colleague.","likert","intention","3","Neither agree nor disagree"
"it_2","I would recommend it to a colleague.","likert","intention","4","Agree"
"it_2","I would recommend it to a colleague.","likert","intention","5","Strongly agree"
"it_3","I would pay to attend again.","likert","intention","1","Strongly disagree"
"it_3","I would pay to attend again.","likert","intention","2","Disagree"
"it_3","I would pay to attend again.","likert","intention","3","Neither agree nor disagree"
"it_3","I would pay to attend again.","likert","intention","4","Agree"
"it_3","I would pay to attend again.","likert","intention","5","Strongly agree"
