"respondent_id","started_at","submitted_at","cq_1","cq_2","cq_3","sa_1","sa_2","sa_3","it_1","it_2","it_3"
"R001","2026-06-01T09:12:00Z","2026-06-01T09:16:00Z",3,1,1,3,4,4,3,2,2
"R002","2026-06-01T09:12:37Z","2026-06-01T09:16:37Z",4,4,3,3,3,2,3,2,4
"R003","2026-06-01T09:13:14Z","2026-06-01T09:17:14Z",4,4,5,5,5,5,5,5,5
"R004","2026-06-01T09:13:51Z","2026-06-01T09:17:51Z",4,5,4,3,4,3,2,2,1
"R005","2026-06-01T09:14:28Z","2026-06-01T09:18:28Z",2,3,1,3,1,2,1,1,1
"R006","2026-06-01T09:15:05Z","2026-06-01T09:19:05Z",2,1,2,1,3,1,2,2,2
"R007","2026-06-01T09:15:42Z","2026-06-01T09:19:42Z",2,1,3,3,4,2,3,3,4
"R008","2026-06-01T09:16:19Z","2026-06-01T09:20:19Z",5,4,5,4,4,4,2,5,4
"R009","2026-06-01T09:16:56Z","2026-06-01T09:20:56Z",1,3,1,3,4,4,4,1,2
"R010","2026-06-01T09:17:33Z","2026-06-01T09:21:33Z",4,3,1,3,2,3,3,4,4
"R011","2026-06-01T09:18:10Z","2026-06-01T09:22:10Z",3,1,4,2,1,3,2,4,3
"R012","2026-06-01T09:18:47Z","2026-06-01T09:22:47Z",5,5,5,5,5,5,5,3,5
"R013","2026-06-01T09:19:24Z","2026-06-01T09:23:24Z",1,1,1,1,1,2,1,1,1
"R014","2026-06-01T09:20:01Z","2026-06-01T09:24:01Z",3,5,2,3,4,4,3,3,3
"R015","2026-06-01T09:20:38Z","2026-06-01T09:24:38Z",2,2,3,4,4,5,4,1,2
"R016","2026-06-01T09:21:15Z","2026-06-01T09:25:15Z",2,2,4,2,1,4,3,2,5
"R017","2026-06-01T09:21:52Z","2026-06-01T09:25:52Z",2,1,2,4,4,4,2,1,3
"R018","2026-06-01T09:22:29Z","2026-06-01T09:26:29Z",1,2,2,1,1,1,1,1,1
"R019","2026-06-01T09:23:06Z","2026-06-01T09:27:06Z",2,1,2,1,3,5,4,2,3
"R020","2026-06-01T09:23:43Z","2026-06-01T09:27:43Z",4,2,3,3,3,2,3,2,3
"R021","2026-06-01T09:24:20Z","2026-06-01T09:28:20Z",2,2,3,3,3,3,2,3,5
"R022","2026-06-01T09:24:57Z","2026-06-01T09:28:57Z",1,2,1,2,1,1,1,4,4
"R023","2026-06-01T09:25:34Z","2026-06-01T09:29:34Z",1,2,1,5,4,4,3,1,2
"R024","2026-06-01T09:26:11Z","2026-06-01T09:30:11Z",2,2,2,3,3,1,3,1,4
"R025","2026-06-01T09:26:48Z","2026-06-01T09:30:48Z",4,1,3,2,3,2,3,5,5
"R026","2026-06-01T09:27:25Z","2026-06-01T09:31:25Z",3,3,3,4,2,1,2,2,2
"R027","2026-06-01T09:28:02Z","2026-06-01T09:32:02Z",2,1,1,5,4,4,4,4,2
"R028","2026-06-01T09:28:39Z","2026-06-01T09:32:39Z",1,1,1,1,2,1,1,1,1
"R029","2026-06-01T09:29:16Z","2026-06-01T09:33:16Z",4,4,1,1,3,2,1,2,2
"R030","2026-06-01T09:29:53Z","2026-06-01T09:33:53Z",3,4,2,4,5,4,2,1,5
"R031","2026-06-01T09:30:30Z","2026-06-01T09:34:30Z",5,3,4,2,2,3,2,3,1
"R032","2026-06-01T09:31:07Z","2026-06-01T09:35:07Z",5,5,5,5,5,5,5,5,5
"R033","2026-06-01T09:31:44Z","2026-06-01T09:35:44Z",1,1,1,1,1,1,1,2,1
"R034","2026-06-01T09:32:21Z","2026-06-01T09:36:21Z",5,4,2,1,3,3,4,2,5
"R035","2026-06-01T09:32:58Z","2026-06-01T09:36:58Z",2,3,2,1,1,1,4,4,4
"R036","2026-06-01T09:33:35Z","2026-06-01T09:37:35Z",3,4,3,2,3,3,2,2,4
"R037","2026-06-01T09:34:12Z","2026-06-01T09:38:12Z",1,2,3,3,2,2,4,4,2
