"respondent_id","started_at","submitted_at","format","sessions_attended","will_return"
"R001","2026-06-01T09:16:00Z","2026-06-01T09:20:00Z","in_person",11,"yes"
"R002","2026-06-01T09:16:37Z","2026-06-01T09:20:37Z","in_person",4,"yes"
"R003","2026-06-01T09:17:14Z","2026-06-01T09:21:14Z","in_person",6,"yes"
"R004","2026-06-01T09:17:51Z","2026-06-01T09:21:51Z","in_person",10,"no"
"R005","2026-06-01T09:18:28Z","2026-06-01T09:22:28Z","in_person",7,"yes"
"R006","2026-06-01T09:19:05Z","2026-06-01T09:23:05Z","in_person",8,"yes"
"R007","2026-06-01T09:19:42Z","2026-06-01T09:23:42Z","in_person",8,"yes"
"R008","2026-06-01T09:20:19Z","2026-06-01T09:24:19Z","in_person",9,"yes"
"R009","2026-06-01T09:20:56Z","2026-06-01T09:24:56Z","in_person",7,"yes"
"R010","2026-06-01T09:21:33Z","2026-06-01T09:25:33Z","online",7,"yes"
"R011","2026-06-01T09:22:10Z","2026-06-01T09:26:10Z","online",7,"yes"
"R012","2026-06-01T09:22:47Z","2026-06-01T09:26:47Z","online",6,"no"
"R013","2026-06-01T09:23:24Z","2026-06-01T09:27:24Z","online",5,"yes"
"R014","2026-06-01T09:24:01Z","2026-06-01T09:28:01Z","online",6,"yes"
"R015","2026-06-01T09:24:38Z","2026-06-01T09:28:38Z","online",6,"yes"
"R016","2026-06-01T09:25:15Z","2026-06-01T09:29:15Z","online",5,"yes"
"R017","2026-06-01T09:25:52Z","2026-06-01T09:29:52Z","online",7,"yes"
"R018","2026-06-01T09:26:29Z","2026-06-01T09:30:29Z","online",4,"no"
