"respondent_id","started_at","submitted_at","format","sessions_attended"
"R001","2026-06-01T09:04:00Z","2026-06-01T09:08:00Z","in_person",10
"R002","2026-06-01T09:04:37Z","2026-06-01T09:08:37Z","in_person",4
"R003","2026-06-01T09:05:14Z","2026-06-01T09:09:14Z","in_person",6
"R004","2026-06-01T09:05:51Z","2026-06-01T09:09:51Z","in_person",5
"R005","2026-06-01T09:06:28Z","2026-06-01T09:10:28Z","in_person",12
"R006","2026-06-01T09:07:05Z","2026-06-01T09:11:05Z","in_person",6
"R007","2026-06-01T09:07:42Z","2026-06-01T09:11:42Z","in_person",5
"R008","2026-06-01T09:08:19Z","2026-06-01T09:12:19Z","in_person",6
"R009","2026-06-01T09:08:56Z","2026-06-01T09:12:56Z","in_person",5
"R010","2026-06-01T09:09:33Z","2026-06-01T09:13:33Z","in_person",5
"R011","2026-06-01T09:10:10Z","2026-06-01T09:14:10Z","in_person",4
"R012","2026-06-01T09:10:47Z","2026-06-01T09:14:47Z","in_person",10
"R013","2026-06-01T09:11:24Z","2026-06-01T09:15:24Z","in_person",9
"R014","2026-06-01T09:12:01Z","2026-06-01T09:16:01Z","in_person",5
"R015","2026-06-01T09:12:38Z","2026-06-01T09:16:38Z","in_person",6
"R016","2026-06-01T09:13:15Z","2026-06-01T09:17:15Z","in_person",6
"R017","2026-06-01T09:13:52Z","2026-06-01T09:17:52Z","in_person",7
"R018","2026-06-01T09:14:29Z","2026-06-01T09:18:29Z","in_person",9
"R019","2026-06-01T09:15:06Z","2026-06-01T09:19:06Z","in_person",7
"R020","2026-06-01T09:15:43Z","2026-06-01T09:19:43Z","in_person",7
"R021","2026-06-01T09:16:20Z","2026-06-01T09:20:20Z","in_person",4
"R022","2026-06-01T09:16:57Z","2026-06-01T09:20:57Z","in_person",7
"R023","2026-06-01T09:17:34Z","2026-06-01T09:21:34Z","in_person",7
"R024","2026-06-01T09:18:11Z","2026-06-01T09:22:11Z","in_person",5
"R025","2026-06-01T09:18:48Z","2026-06-01T09:22:48Z","in_person",7
"R026","2026-06-01T09:19:25Z","2026-06-01T09:23:25Z","in_person",4
"R027","2026-06-01T09:20:02Z","2026-06-01T09:24:02Z","in_person",10
"R028","2026-06-01T09:20:39Z","2026-06-01T09:24:39Z","in_person",9
"R029","2026-06-01T09:21:16Z","2026-06-01T09:25:16Z","in_person",9
"R030","2026-06-01T09:21:53Z","2026-06-01T09:25:53Z","in_person",8
"R031","2026-06-01T09:22:30Z","2026-06-01T09:26:30Z","online",5
"R032","2026-06-01T09:23:07Z","2026-06-01T09:27:07Z","online",7
"R033","2026-06-01T09:23:44Z","2026-06-01T09:27:44Z","online",6
"R034","2026-06-01T09:24:21Z","2026-06-01T09:28:21Z","online",7
"R035","2026-06-01T09:24:58Z","2026-06-01T09:28:58Z","online",5
"R036","2026-06-01T09:25:35Z","2026-06-01T09:29:35Z","online",7
"R037","2026-06-01T09:26:12Z","2026-06-01T09:30:12Z","online",4
"R038","2026-06-01T09:26:49Z","2026-06-01T09:30:49Z","online",6
"R039","2026-06-01T09:27:26Z","2026-06-01T09:31:26Z","online",4
"R040","2026-06-01T09:28:03Z","2026-06-01T09:32:03Z","online",8
"R041","2026-06-01T09:28:40Z","2026-06-01T09:32:40Z","online",3
"R042","2026-06-01T09:29:17Z","2026-06-01T09:33:17Z","online",8
"R043","2026-06-01T09:29:54Z","2026-06-01T09:33:54Z","online",6
"R044","2026-06-01T09:30:31Z","2026-06-01T09:34:31Z","online",7
"R045","2026-06-01T09:31:08Z","2026-06-01T09:35:08Z","online",4
"R046","2026-06-01T09:31:45Z","2026-06-01T09:35:45Z","online",3
"R047","2026-06-01T09:32:22Z","2026-06-01T09:36:22Z","online",5
"R048","2026-06-01T09:32:59Z","2026-06-01T09:36:59Z","online",0
"R049","2026-06-01T09:33:36Z","2026-06-01T09:37:36Z","online",6
"R050","2026-06-01T09:34:13Z","2026-06-01T09:38:13Z","online",1
"R051","2026-06-01T09:34:50Z","2026-06-01T09:38:50Z","online",7
"R052","2026-06-01T09:35:27Z","2026-06-01T09:39:27Z","online",5
"R053","2026-06-01T09:36:04Z","2026-06-01T09:40:04Z","online",6
"R054","2026-06-01T09:36:41Z","2026-06-01T09:40:41Z","online",5
"R055","2026-06-01T09:37:18Z","2026-06-01T09:41:18Z","online",1
"R056","2026-06-01T09:37:55Z","2026-06-01T09:41:55Z","online",2
"R057","2026-06-01T09:38:32Z","2026-06-01T09:42:32Z","online",4
"R058","2026-06-01T09:39:09Z","2026-06-01T09:43:09Z","online",7
"R059","2026-06-01T09:39:46Z","2026-06-01T09:43:46Z","online",7
"R060","2026-06-01T09:40:23Z","2026-06-01T09:44:23Z","online",1
