"respondent_id","crit_pairs__service__vs__location","crit_pairs__service__vs__price","crit_pairs__service__vs__delivery","crit_pairs__location__vs__price","crit_pairs__location__vs__delivery","crit_pairs__price__vs__delivery","crit_points__service","crit_points__location","crit_points__price","crit_points__delivery","rate_service__Alpha","rate_service__Basilica","rate_service__Coral","rate_service__Dhoni","rate_service__Equator","rate_location__Alpha","rate_location__Basilica","rate_location__Coral","rate_location__Dhoni","rate_location__Equator","rate_price__Alpha","rate_price__Basilica","rate_price__Coral","rate_price__Dhoni","rate_price__Equator","rate_delivery__Alpha","rate_delivery__Basilica","rate_delivery__Coral","rate_delivery__Dhoni","rate_delivery__Equator","crit_influence__service__to__location","crit_influence__service__to__price","crit_influence__service__to__delivery","crit_influence__location__to__service","crit_influence__location__to__price","crit_influence__location__to__delivery","crit_influence__price__to__service","crit_influence__price__to__location","crit_influence__price__to__delivery","crit_influence__delivery__to__service","crit_influence__delivery__to__location","crit_influence__delivery__to__price"
"r01",2,2,3,1,2,1,48,20,23,9,5,4,5,4,4,3,5,2,4,4,4,4,3,5,4,3,3,5,2,4,3,3,3,1,1,3,2,1,1,2,1,2
"r02",1,2,4,1,2,1,44,24,15,17,5,3,4,4,4,4,5,3,5,4,3,4,2,4,3,3,4,5,2,4,1,2,2,1,0,2,1,0,2,2,2,3
"r03",2,1,4,1,1,1,38,40,15,7,4,4,5,4,4,3,4,2,5,4,4,5,3,4,4,3,2,5,3,5,1,4,3,2,1,3,2,2,1,1,1,2
"r04",2,3,3,1,2,1,40,30,20,10,5,4,5,4,4,4,5,2,5,4,4,4,4,4,3,4,2,4,2,4,1,3,3,0,0,1,0,1,3,0,0,2
"r05",1,2,3,1,1,-2,40,33,7,20,3,3,5,5,5,3,4,2,4,4,3,4,3,5,4,3,2,5,2,5,3,3,3,2,1,2,1,1,1,1,2,2
"r06",1,2,4,1,2,1,41,34,10,15,4,4,4,3,4,3,4,3,3,4,3,5,2,5,3,3,2,5,2,4,3,2,3,1,2,3,0,0,2,0,2,1
"r07",1,2,2,1,1,-2,39,25,16,20,4,4,5,3,4,4,4,2,4,3,3,4,3,4,3,3,3,4,3,3,1,3,2,0,1,2,0,1,2,0,2,2
"r08",1,2,3,1,2,2,49,23,20,8,4,4,5,4,4,3,5,3,4,4,3,4,2,5,4,4,3,5,2,4,2,3,4,1,1,1,2,2,1,2,1,1
"r09",2,2,3,1,1,1,42,26,10,22,4,4,5,4,3,3,4,2,4,3,4,4,3,5,3,4,4,4,2,4,2,3,2,0,2,2,1,1,2,1,0,3
"r10",1,2,3,2,1,1,46,27,15,12,5,4,5,4,5,3,5,2,5,4,3,4,3,4,3,4,3,4,3,4,2,3,3,0,2,2,1,1,1,2,0,2
"r11",1,2,3,1,2,1,40,29,17,14,4,4,5,4,5,3,4,2,4,4,3,4,3,4,3,2,3,4,3,3,2,2,3,2,1,2,1,2,0,0,2,2
"r12",1,3,3,1,1,1,34,28,30,8,5,3,5,4,4,3,3,3,4,5,4,4,3,4,3,3,4,5,3,4,2,3,2,2,1,2,0,1,1,0,1,3
