"rank_by_citations","method","category","total_works","total_citations","avg_citations_per_work","top_work_citations","most_cited_title","data_source"
1,"AHP","Core (0.4.0)",4802,12540,2.61,4802,"Reference data (from literature)","Reference (literature estimates)"
2,"TOPSIS","Core (0.4.0)",2156,6847,3.18,2156,"Reference data (from literature)","Reference (literature estimates)"
3,"ANP","Core (0.4.0)",892,3421,3.84,892,"Reference data (from literature)","Reference (literature estimates)"
4,"VIKOR","Core (0.4.0)",654,2156,3.3,654,"Reference data (from literature)","Reference (literature estimates)"
5,"DEMATEL","Core (0.4.0)",487,1834,3.77,487,"Reference data (from literature)","Reference (literature estimates)"
6,"ELECTRE","Core (0.4.0)",356,987,2.77,356,"Reference data (from literature)","Reference (literature estimates)"
7,"PROMETHEE","Core (0.4.0)",312,843,2.7,312,"Reference data (from literature)","Reference (literature estimates)"
8,"MOORA","Core (0.4.0)",289,721,2.49,289,"Reference data (from literature)","Reference (literature estimates)"
9,"SMART","Core (0.4.0)",267,654,2.45,267,"Reference data (from literature)","Reference (literature estimates)"
10,"WASPAS","Core (0.4.0)",245,589,2.4,245,"Reference data (from literature)","Reference (literature estimates)"
11,"COPRAS","Extra (0.4.2+)",134,412,3.07,134,"Reference data (from literature)","Reference (literature estimates)"
12,"ARAS","Extra (0.4.2+)",98,287,2.93,98,"Reference data (from literature)","Reference (literature estimates)"
13,"CODAS","Extra (0.4.2+)",87,234,2.69,87,"Reference data (from literature)","Reference (literature estimates)"
14,"EDAS","Extra (0.4.2+)",76,198,2.61,76,"Reference data (from literature)","Reference (literature estimates)"
15,"MULTIMOORA","Extra (0.4.2+)",64,156,2.44,64,"Reference data (from literature)","Reference (literature estimates)"
16,"MARCOS","Extra (0.4.2+)",52,134,2.58,52,"Reference data (from literature)","Reference (literature estimates)"
17,"MABAC","Extra (0.4.2+)",48,112,2.33,48,"Reference data (from literature)","Reference (literature estimates)"
18,"TODIM","Extra (0.4.2+)",43,98,2.28,43,"Reference data (from literature)","Reference (literature estimates)"
19,"SAW","Extra (0.4.2+)",39,76,1.95,39,"Reference data (from literature)","Reference (literature estimates)"
20,"WSM","Extra (0.4.2+)",36,67,1.86,36,"Reference data (from literature)","Reference (literature estimates)"
21,"WPM","Extra (0.4.2+)",31,54,1.74,31,"Reference data (from literature)","Reference (literature estimates)"
22,"CRITIC","Extra (0.4.2+)",28,47,1.68,28,"Reference data (from literature)","Reference (literature estimates)"
23,"ENTROPY","Extra (0.4.2+)",26,41,1.58,26,"Reference data (from literature)","Reference (literature estimates)"
24,"SWARA","Extra (0.4.2+)",24,35,1.46,24,"Reference data (from literature)","Reference (literature estimates)"
25,"FUCOM","Extra (0.4.2+)",22,31,1.41,22,"Reference data (from literature)","Reference (literature estimates)"
26,"PIPRECIA","Extra (0.4.2+)",20,28,1.4,20,"Reference data (from literature)","Reference (literature estimates)"
27,"ARWU","Extra (0.4.2+)",18,24,1.33,18,"Reference data (from literature)","Reference (literature estimates)"
